TrainingRowId,SourceProject,SourceRowId,Caller,CallerSignature,Callee,CalleeSignature,Line,MethodName,ManualLabel,AnnotationConfidence,AnnotationRationale
1,Thunderbird,2293,com.fsck.k9.helper.ReplyToParserTest#getRecipientsToReplyTo_should_prefer_replyTo_over_any_other_field,com.fsck.k9.helper.ReplyToParserTest#getRecipientsToReplyTo_should_prefer_replyTo_over_any_other_field(),thenReturn,thenReturn(java.lang.String[]),51,thenReturn,Control/Orchestrate,Medium,"Source app/core/src/test/java/com/fsck/k9/helper/ReplyToParserTest.java:51 shows ""when(message.getHeader(ListHeaders.LIST_POST_HEADER)).thenReturn(LIST_POST_HEADER_VALUES);"". Label: Control/Orchestrate. The source call configures test behavior or request data rather than computing a domain value; its role is to coordinate the test scenario. Selected feature evidence: MethodName=thenReturn, ReceiverCategory=chained_call, ResultUsageKind=CHAINED, InsideDelegationChain=false, HasChainedOrNestedDelegation=true."
2,PetClinic,155,org.springframework.samples.petclinic.owner.VisitController#loadPetWithVisit,"org.springframework.samples.petclinic.owner.VisitController#loadPetWithVisit(int,int,java.util.Map)",java.util.Map#put,"java.util.Map#put(java.lang.Object,java.lang.Object)",75,put,Command/Mutate,High,"Source src/main/java/org/springframework/samples/petclinic/owner/VisitController.java:75 shows ""model.put(""owner"", owner);"". Label: Command/Mutate. The source call changes object, collection, repository, or application state, which matches the command/mutate role. Selected feature evidence: MethodName=put, CalleeNameAction=MUTATOR, IsVoidCall=false, MethodLooksMutator=false, CalleeLooksCommandMethod=false, CalleeBodySummary=UNRESOLVED, PreviousStatementContainsMutation=true, FollowsStateMutationNearby=true."
3,PetClinic,445,org.springframework.samples.petclinic.owner.PetControllerTests#setup,org.springframework.samples.petclinic.owner.PetControllerTests#setup(),java.util.List#of,java.util.List#of(java.lang.Object),72,of,Creational,High,"Source src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java:72 shows ""given(this.types.findPetTypes()).willReturn(List.of(cat));"". Label: Creational. The source call is used to create, build, or obtain a new object/value through factory-like naming or creation features. Selected feature evidence: MethodName=of, CalleeNameAction=CREATION, IsFactoryLikeCall=true, ReturnsNewProjectType=false, MethodNameStartsWithCreate=false, MethodNameStartsWithBuild=false, MethodNameStartsWithOf=true, MethodNameStartsWithFrom=false, CalleeBodySummary=UNRESOLVED."
4,Thunderbird,2215,com.fsck.k9.helper.Utility#stripSubject,com.fsck.k9.helper.Utility#stripSubject(java.lang.String),java.lang.String#substring,java.lang.String#substring(int),163,substring,Compute/Transform,High,"Source app/core/src/main/java/com/fsck/k9/helper/Utility.java:163 shows ""return subject.substring(lastPrefix).trim();"". Label: Compute/Transform. The source call derives, parses, formats, converts, streams, or transforms a value rather than primarily retrieving or mutating domain state. Selected feature evidence: MethodName=substring, ComputeTransformNameHint=NONE, CalleeNameAction=OTHER, ResultUsageKind=RETURNED|CHAINED, ReturnType=java.lang.String, InvocationFeedsAnotherCall=true, HasNestedInvocationArg=false."
5,Thunderbird,1009,com.fsck.k9.controller.MessagingController$6#run,com.fsck.k9.controller.MessagingController$6#run(),com.fsck.k9.controller.MessagingControllerCommands$PendingEmptyTrash#create,com.fsck.k9.controller.MessagingControllerCommands$PendingEmptyTrash#create(),2126,create,Creational,High,"Source app/core/src/main/java/com/fsck/k9/controller/MessagingController.java:2126 shows ""PendingCommand command = PendingEmptyTrash.create();"". Label: Creational. The source call is used to create, build, or obtain a new object/value through factory-like naming or creation features. Selected feature evidence: MethodName=create, CalleeNameAction=CREATION, IsFactoryLikeCall=true, ReturnsNewProjectType=true, MethodNameStartsWithCreate=true, MethodNameStartsWithBuild=false, MethodNameStartsWithOf=false, MethodNameStartsWithFrom=false, CalleeBodySummary=RETURNS_VALUE|RETURNS_NEW_OBJECT."
6,PetClinic,216,org.springframework.samples.petclinic.owner.OwnerControllerTests#testProcessCreationFormHasErrors,org.springframework.samples.petclinic.owner.OwnerControllerTests#testProcessCreationFormHasErrors(),org.springframework.test.web.servlet.MockMvc#perform,org.springframework.test.web.servlet.MockMvc#perform(),125,perform,Control/Orchestrate,High,"Source src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java:125 shows ""mockMvc"". Label: Control/Orchestrate. The call coordinates a framework, MVC, HTTP, or application flow rather than directly computing a local value. Selected feature evidence: MethodName=perform, CallerLayer=other, CalleeLayer=external, LayerRelation=other->external, ReceiverCategory=field, CallerMethodFanOut=11, CallerClassFanOut=19, InsideDelegationChain=false, HasChainedOrNestedDelegation=true."
7,JPacman,192,nl.tudelft.jpacman.level.LevelTest#registerThirdPlayer,nl.tudelft.jpacman.level.LevelTest#registerThirdPlayer(),Mockito#mock,Mockito#mock(java.lang.Class),150,mock,Control/Orchestrate,Medium,"Source src/default-test/java/nl/tudelft/jpacman/level/LevelTest.java:150 shows ""Player p2 = mock(Player.class);"". Label: Control/Orchestrate. The source call configures test behavior or request data rather than computing a domain value; its role is to coordinate the test scenario. Selected feature evidence: MethodName=mock, ReceiverCategory=static_type, ResultUsageKind=ASSIGNED, InsideDelegationChain=false, HasChainedOrNestedDelegation=false."
8,Thunderbird,3479,com.fsck.k9.mailstore.MessageViewInfoExtractor#extractTextFromViewables,com.fsck.k9.mailstore.MessageViewInfoExtractor#extractTextFromViewables(java.util.List),com.fsck.k9.mail.internet.Viewable$Alternative#getHtml,com.fsck.k9.mail.internet.Viewable$Alternative#getHtml(),227,getHtml,Query/Retrieve,High,"Source app/core/src/main/java/com/fsck/k9/mailstore/MessageViewInfoExtractor.java:227 shows ""alternative.getText() : alternative.getHtml();"". Label: Query/Retrieve. The source call retrieves or exposes information and its result is consumed without direct evidence of state mutation. Selected feature evidence: MethodName=getHtml, NamePattern=query, CalleeNameAction=ACCESSOR, IsVoidCall=false, ReturnType=java.util.List, ResultUsageKind=ASSIGNED, MethodLooksAccessor=true, CalleeLooksQueryMethod=true, ReturnsBoolean=false, ReturnsCollection=true, ReturnsOptional=false."
9,JPacman,82,nl.tudelft.jpacman.board.Square#invariant,nl.tudelft.jpacman.board.Square#invariant(nl.tudelft.jpacman.board.Square),nl.tudelft.jpacman.board.Unit#hasSquare,nl.tudelft.jpacman.board.Unit#hasSquare(),114,hasSquare,Validate/Guard,High,"Source src/main/java/nl/tudelft/jpacman/board/Square.java:114 shows ""if (occupant.hasSquare() && occupant.getSquare() != this) {"". Label: Validate/Guard. The call-site invokes validation, checking, assertion, or error-registration behavior in the source code. Selected feature evidence: MethodName=hasSquare, CalleeNameAction=EXISTENCE_CHECK, NameContainsValidate=false, NameContainsCheck=false, CalleeLooksValidatorMethod=true, ResultUsageKind=USED_IN_CONDITION."
10,Thunderbird,8345,com.fsck.k9.ui.messagelist.MessageListHandler#remoteSearchFinished,com.fsck.k9.ui.messagelist.MessageListHandler#remoteSearchFinished(),sendMessage,sendMessage(<unknown>),48,sendMessage,Notify/Publish,High,"Source app/ui/legacy/src/main/java/com/fsck/k9/ui/messagelist/MessageListHandler.java:48 shows ""sendMessage(msg);"". Label: Notify/Publish. The call-site signals observers, publishes state, or dispatches a message/event to dependent code. Selected feature evidence: MethodName=sendMessage, CalleeNameAction=NOTIFICATION, NameStartsWithNotify=false, NameStartsWithPublish=false, NameStartsWithSend=true, ReceiverLooksLikeEventBus=false, ReceiverLooksLikeObserverPublisher=false, ReceiverLooksLikeListenerRegistry=false, AnyArgumentLooksLikeEvent=false, AnyArgumentLooksLikeMessage=true."
